"sessionLog"	"actionFrames"	"totalTime_secs"	"imgExports"	"p_16sec"	"p_8sec"	"p_4sec"	"p_2sec"	"p_1sec"	"pauseMin"	"pauseMax"	"pauseMedian"	"pauseMean"
"1"	"2017-04-09-03-03-03_gamepadKeys.txt"	19011	2492.552	1	6	6	7	20	47	0.0180000000000291	551.283	0.0330000000003565	0.131117937927407
"2"	"2017-04-09-03-44-39_gamepadKeys.txt"	2383	95.791	0	0	0	0	2	4	0.0299999999997453	3.67799999999988	0.0330000000003565	0.0402145256087322
"3"	"2017-04-09-03-46-26_gamepadKeys.txt"	6773	675.231	0	2	2	3	6	10	0.0250000000000909	309.79	0.0330000000003565	0.0997092439456586
"4"	"2017-04-09-04-20-33_gamepadKeys.txt"	5641	250.888	0	1	1	1	2	3	0.0290000000004511	46.1539999999995	0.0330000000003565	0.0444836879432624
"5"	"2017-04-09-04-24-45_gamepadKeys.txt"	7196	506.923	0	3	4	5	12	32	0.0209999999997308	81.4790000000003	0.0330000000003565	0.0704548992355804
