millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	x_mean	y_mean	joy1_int	joy2_int
4907969	2480	753	1081	523	0	810	0	35	188	255	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	2480	997	0	0
4909066	2480	1536	1081	523	0	810	0	35	188	255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	2480	997	0	0
4909100	2480	404	1081	523	0	810	0	35	188	255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	2480	997	0	0
4909133	2480	2033	1081	523	0	810	0	35	188	255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34920275	0.2063477	0.0	0.0	2480	997	7	0
4909167	2480	845	1081	523	0	810	0	35	188	255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77776766	0.4761883	0.0	0.0	2480	997	15	0
4909201	2480	808	1081	523	0	810	0	35	188	255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8888838	0.52382696	0.0	0.0	2480	997	18	0
4909233	2480	1640	1081	523	0	810	0	35	188	255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9444572	0.4047761	0.0	0.0	2480	997	26	0
4909267	2480	1776	1081	523	0	810	1	35	188	255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9841306	0.32539868	0.0	0.0	2480	997	32	0
4909300	2480	1220	1081	523	0	810	2	35	188	255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9920653	0.317464	0.0	0.0	2480	997	33	0
4909333	2480	693	1081	523	0	810	3	35	188	255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8571451	0.317464	0.0	0.0	2480	997	26	0
4909366	2480	1735	1081	523	0	810	4	35	188	255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4761883	0.0	0.0	0.0	2480	997	23	0
4909400	2480	554	1081	523	0	810	4	35	188	255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.27345693	0.0	0.0	2480	997	13	0
4909434	2480	1664	1081	523	0	810	4	35	188	255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.6796826	-0.6328069	0.0	0.0	2480	997	-3	0
4909467	2480	2179	1081	523	0	810	4	35	188	255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.90624857	-0.43752193	0.0	0.0	2480	997	-24	0
4909500	2480	438	1081	523	0	810	4	35	188	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	0.0	0.0	2480	997	-50	0
4909553	2480	846	1081	523	0	810	2	35	186	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	0.0	0.0	2480	997	-50	0
4909586	2480	1603	1081	523	0	810	0	35	184	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	0.0	0.0	2480	997	-50	0
4909619	2480	957	1081	523	0	810	0	35	182	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	0.0	0.0	2480	997	-50	0
4909652	2480	735	1081	523	0	810	0	35	180	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	0.0	0.0	2480	997	-50	0
4909686	2480	1034	1081	523	0	810	0	35	178	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	0.0	0.0	2480	997	-50	0
4909719	2480	2131	1081	523	0	810	0	35	176	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	0.0	0.0	2480	997	-50	0
4909753	2480	-812	1081	523	0	810	0	35	174	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	0.0	0.0	2480	997	-50	0
4909786	2480	704	1081	523	0	810	0	35	172	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	0.0	0.0	2480	997	-50	0
4909819	2480	1014	1081	523	0	810	0	35	170	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	0.0	0.0	2480	997	-50	0
4909852	2480	1219	1081	523	0	810	0	35	168	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	0.0	0.0	2480	997	-50	0
4909886	2480	2387	1081	523	0	810	0	35	166	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.32033265	0.0	0.0	2480	997	-34	0
4909929	2480	1380	1081	523	0	810	0	35	165	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.33595788	0.0	0.0	0.0	2480	997	-17	0
4909963	2480	1003	1081	523	0	810	0	35	165	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	2480	997	0	0
4909997	2480	1147	1081	523	0	810	0	35	163	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	2480	997	0	0
4910029	2480	1334	1081	523	0	810	0	35	161	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	2480	997	0	0
4910063	2480	71	1081	523	0	810	0	35	159	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	2480	997	0	0
4910096	2480	277	1081	523	0	810	0	35	157	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	2480	997	0	0
4910130	2480	1769	1081	523	0	810	0	35	155	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	2480	997	0	0
4910162	2480	1605	1081	523	0	810	0	35	153	255	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	2480	997	0	0
4910196	2480	686	1081	523	0	810	0	35	151	255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	2480	997	0	0
4910229	2480	1433	1081	523	0	810	0	35	151	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	2480	997	0	0
