millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	x_mean	y_mean	joy1_int	joy2_int
2860841	1837	1041	350	350	810	810	222	218	206	40	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1440	810	0	0
2861700	1223	987	350	350	810	810	222	218	206	40	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1440	810	0	0
2861734	1808	1399	350	350	810	810	222	218	206	40	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1440	810	0	0
2861767	1767	738	350	350	810	810	222	218	206	40	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1440	810	0	0
2861814	979	-805	350	350	810	810	222	218	206	40	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1440	810	0	0
2861848	1524	1478	350	350	810	810	222	218	206	40	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1440	810	0	0
2867796	1361	1270	350	350	810	810	222	218	206	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2867828	1450	-34	350	350	810	810	222	218	206	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2867887	623	1249	320	350	810	810	222	218	206	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2867925	129	1570	290	350	810	810	222	218	206	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2867959	2269	-332	260	350	810	810	222	218	206	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2867992	460	-734	230	350	810	810	222	218	206	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2868026	1573	1729	200	350	810	810	222	218	206	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2868059	957	1095	170	350	810	810	222	218	206	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2868098	1770	426	140	350	810	810	222	218	206	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2868132	1608	3134	110	350	810	810	222	218	206	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2868165	1979	2677	80	350	810	810	222	218	206	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2868197	1818	1746	50	350	810	810	222	218	206	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2868231	1561	528	20	350	810	810	222	218	206	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2868264	2112	550	-10	350	810	810	222	218	206	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2868298	1029	2381	-29	350	810	810	222	218	206	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2868331	2063	1620	-29	350	810	810	222	218	206	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2868364	2301	401	-29	350	810	810	222	218	206	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	1440	810	0	0
2868398	-400	-220	1	350	810	810	222	218	206	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1440	810	0	0
2868804	1360	1009	1	350	810	810	222	218	206	40	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1440	810	0	0
2868837	1867	1625	1	350	810	810	222	218	206	40	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1440	810	0	0
2868870	1438	610	1	350	810	810	222	218	206	40	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1440	810	0	0
2868969	2213	-41	150	55	247	318	222	218	206	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1440	810	0	0
2869003	1572	884	392	29	201	345	52	231	227	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1440	810	0	0
